rank,player,age,team,position,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,effective_field_goal_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
516,Matisse Thybulle,26,POR,SF,65,19,1487,3.1,7.7,0.397,1.9,5.6,0.346,1.1,2.1,0.535,0.524,0.5,0.7,0.759,0.7,2.6,3.3,2.2,2.7,1.2,1,2.3,8.6
517,Cody Zeller,31,NOP,C,43,0,320,2.9,7,0.419,0.1,0.3,0.333,2.8,6.6,0.424,0.427,2.6,4.3,0.605,5.4,7.2,12.6,4.4,1,0.6,1.8,5.1,8.6
518,Reggie Bullock,32,HOU,SF,44,0,417,2.9,7.1,0.415,2.3,5.8,0.403,0.6,1.3,0.467,0.579,0.1,0.1,1,0.5,5.8,6.3,1.3,1,0.4,0.9,2.5,8.3
519,Joe Harris,32,DET,SG,16,0,170,3,8.3,0.359,2.1,6.4,0.333,0.8,1.9,0.444,0.487,0.2,0.4,0.5,0.6,2.1,2.8,2.1,0.6,0.4,0.8,4,8.3
520,Kobe Brown,24,LAC,PF,44,0,394,3.4,8.2,0.411,1.3,4.4,0.292,2.1,3.8,0.548,0.489,0.1,0.2,0.5,1.8,3.8,5.7,2.3,1.1,0.5,0.8,4.5,8.1
521,Otto Porter Jr.,30,TOR,SF,15,1,174,2.9,6.8,0.424,1.7,4.8,0.348,1.2,2.1,0.6,0.545,0.6,0.6,1,1.2,4.8,6,1.7,1,1,0.4,3.9,8.1
522,Mitchell Robinson,25,NYK,C,31,21,768,3.4,6,0.575,0,0,NA,3.4,6,0.575,0.575,1.3,3.1,0.409,6.7,5.7,12.3,0.8,1.7,1.6,1.2,2.6,8.1
523,Jamaree Bouyea,24,2TM,PG,9,0,95,3.8,10.6,0.357,0.4,3.4,0.111,3.4,7.2,0.474,0.375,0,0,NA,1.1,6.1,7.2,4.2,0.4,0,3.4,3.8,8
524,Bismack Biyombo,31,2TM,C,40,27,791,3.4,6,0.565,0,0,NA,3.4,6,0.565,0.565,1.2,2.5,0.481,2.8,6.7,9.5,2.4,0.5,1.7,1.9,4.1,7.9
525,Andre Jackson Jr.,22,MIL,SG,57,8,572,3.1,6.3,0.5,1.1,2.9,0.37,2.1,3.4,0.611,0.585,0.5,0.7,0.727,2.7,4.4,7.1,3.1,1,0.4,1.8,5.8,7.9
526,Maxi Kleber,32,DAL,C,43,7,871,2.6,6,0.432,1.3,3.8,0.348,1.3,2.2,0.574,0.541,1.4,1.9,0.702,1.2,4.7,5.9,2.8,0.7,1.2,1.2,3.3,7.9
527,Mouhamadou Gueye,25,TOR,PF,11,0,120,3.3,11.4,0.289,0,0.9,0,3.3,10.5,0.314,0.289,1.2,2.7,0.444,3.6,3.3,6.9,1.5,0.9,5.4,3.6,4.5,7.8
528,Jalen Slawson,24,SAC,SF,12,0,37,3.9,5.8,0.667,0,1.9,0,3.9,3.9,1,0.667,0,0,NA,1,5.8,6.8,1.9,1,1,1.9,7.8,7.8
529,Adam Flagler,24,OKC,SG,2,0,14,2.6,18,0.143,2.6,15.4,0.167,0,2.6,0,0.214,0,0,NA,0,0,0,10.3,0,0,0,0,7.7
530,Cory Joseph,32,GSW,PG,26,0,296,2.8,7.8,0.359,1.6,5.1,0.31,1.2,2.7,0.455,0.461,0.5,0.9,0.571,0.7,2.9,3.6,5.1,0.5,0.4,1.5,3,7.7
